,NameImage,centroid-0,centroid-1,area,area_bbox,area_convex,area_filled,bbox-0,bbox-1,bbox-2,bbox-3,centroid_local-0,centroid_local-1,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,perimeter,perimeter_crofton,solidity,axis_major_length,axis_minor_length,AOL
11,055.png,804.9835740394045,910.1580747971828,179472,362120,269892,179472,609,455,1049,1278,195.9835740394045,455.15807479718285,0.935003384119736,478.0280824101332,3,0.49561471335468904,842.1425057554095,2456.4053377838823,2339.707020513628,0.6649771019518919,876.6682780926019,310.90057775974833,"7,59"
12,053.png,592.2979934247818,972.9495748781318,88210,215200,125969,88210,405,680,805,1218,187.29799342478177,292.9495748781317,0.9144595351429253,335.1305122502108,1,0.4098977695167286,622.8169875653682,2061.469262920811,1957.4696296132784,0.7002516492152832,592.784119922912,239.8863074925699,"8,98"
13,052.png,396.2358647894551,553.0456367659793,62362,169850,99028,62362,256,313,651,743,140.23586478945512,240.04563676597928,0.9026686969724796,281.78318702288504,2,0.3671592581689726,569.8885856024842,1682.8641404994282,1600.818283853439,0.6297410833299673,500.5911285240708,215.42247148354713,"9,75"
14,047.png,583.574600018934,1034.831013916501,105630,315980,184212,105630,363,706,881,1316,220.574600018934,328.831013916501,0.9300440063378138,366.7319090430709,1,0.33429330970314575,776.5049903252393,2237.866232540481,2124.311744348921,0.5734154126766986,710.3918213060265,261.0321637394571,"6,34"
15,051.png,566.6570407580988,1135.3601811055296,106899,258778,142751,114958,326,838,807,1376,240.65704075809876,297.36018110552953,0.9082830253092619,368.9282234969889,0,0.4130915301919019,680.6416090719109,2240.6185412194786,2124.2395795371876,0.7488493951005597,639.248597988718,267.4336417043539,"10,3"
16,009.png,247.2802545095651,627.3216018143256,47621,84071,63646,47621,156,469,379,846,91.28025450956511,158.32160181432562,0.8934305645474765,246.23756894477575,1,0.5664378917819463,395.6071283483148,1357.0996385116111,1289.29265254403,0.7482166986142098,402.31837587326777,180.72194570074674,"8,39"
17,001.png,710.6359065433494,561.5105903698749,130071,330376,171880,130071,483,212,971,889,227.6359065433494,349.51059036987493,0.9345997466594628,406.95397875343025,1,0.3937059592706492,809.7339069101652,2193.370849898476,2082.127476399698,0.7567547125901792,731.1813558109263,260.0820547042973,"8,5"
18,011.png,317.2556146955732,482.1920842528885,61624,113544,90291,61624,227,289,476,745,90.25561469557316,193.1920842528885,0.9072014986189062,280.1108953696012,1,0.5427323328401324,473.4321493096978,1666.2834046956846,1582.8099426242134,0.6825043470556312,482.54704499758174,203.00579315115112,"9,4"
19,004.png,321.3362004567477,648.8985337118221,46853,104139,72568,46853,203,462,464,861,118.3362004567477,186.89853371182207,0.9241877209752516,244.24391986183932,1,0.44990829564332285,434.0794858087629,1283.477272147525,1219.494272457136,0.6456427075294896,454.45328810796735,173.5732301540281,"6,7"
20,006.png,474.31370906133714,255.95330096848124,81158,202240,144790,81158,311,30,706,542,163.31370906133714,225.95330096848124,0.8838416269366319,321.4554012170527,1,0.4012954905063291,601.3118991006248,2128.7535341682733,2020.8664196546972,0.5605221355065958,565.874672163032,264.7083925576761,"8,64"
21,003.png,289.825707868348,710.9312028014077,56543,115092,87839,56543,176,524,454,938,113.82570786834798,186.93120280140778,0.903168309067547,268.31470995448666,1,0.4912852326834185,472.1440458165283,1572.1534623807734,1493.1764623000013,0.6437117908901513,463.3600153032793,198.91425663955383,"8,2"
22,010.png,508.20485332319583,1050.3589304948362,78915,173679,118377,78915,404,732,681,1359,104.20485332319585,318.3589304948362,0.9073283360831332,316.982174061532,1,0.45437272209075363,628.1504596830285,1829.9940828143394,1737.624698829949,0.6666413239058263,554.2786483115725,233.0313547911744,"10,99"
23,005.png,388.7006806995497,1488.154152267253,47745,96292,69152,47745,317,1221,498,1753,71.7006806995497,267.1541522672531,0.9585179639455802,246.55794869235172,1,0.4958355834337224,535.4857607817411,1451.9280656363574,1379.1956389104685,0.6904355622397038,502.5188218462845,143.23400809432812,"9,75"
